colony_id,area,perimeter,circularity,aspect_ratio,solidity,extent,convexity,margin_complexity,form,margin,color_cluster,mean_intensity,opacity_score,density_uniformity,density_gradient,texture_score,mean_saturation,density_class,density_cluster,bio_interest
20,204.0,86.29036790187178,0.34428285061192376,2.8015146640588844,0.7259786476868327,0.5411140583554377,0.8360655737704918,53.92156862745098,filamentous,serrate,1,100.8529411764706,1.370443262418824,0.03708736707159043,0.09156042957197508,323.39060392156864,61.93627450980392,medium,3,0.7163008839134751
21,220.0,98.76955262170047,0.28339120743013174,4.487376875154731,0.6451612903225806,0.3935599284436494,0.7457627118644068,31.818181818181817,filamentous,serrate,5,99.81818181818181,1.3979960769436552,0.038288611337347615,0.2596523289146689,356.9323054545454,61.35,medium,3,0.6069823133232569
22,108.0,42.66295090390226,0.7456445309220413,1.398452369943345,0.8852459016393442,0.6,1.0384615384615385,92.59259259259258,oval,undulate,0,81.99074074074075,1.8726921244105736,0.04673308026559074,-0.8140900600007266,410.8829446730681,43.18518518518518,dense,2,1.0
23,245.0,81.73401871576773,0.4608613020948308,3.115734644339938,0.7101449275362319,0.4939516129032258,0.7928802588996764,40.816326530612244,filamentous,serrate,0,72.08571428571429,2.1364359162330633,0.0561734885607003,0.07303846689650846,563.9548473469388,48.51020408163265,dense,1,1.0
24,151.0,54.526911934581186,0.6382120591642289,1.800748765131085,0.8296703296703297,0.5676691729323309,0.9556962025316456,52.980132450331126,oval,undulate,4,62.13907284768212,2.40128780135186,0.032717327212703,-0.2037792872354563,489.58336423841064,115.17218543046357,dense,2,1.0
25,249.0,111.32590180780451,0.2524740620068058,1.7066110676864947,0.6043689320388349,0.3683431952662722,0.6631158455392809,36.144578313253014,irregular,serrate,4,100.46987951807229,1.3806431477746588,0.03325353180266682,-0.19700420576483282,1712.7674473895581,88.43373493975903,medium,2,0.7169096519696561
26,208.0,103.9827560572969,0.24174113151905222,2.113118298649285,0.5073170731707317,0.2447058823529412,0.5659863945578232,33.65384615384615,filamentous,serrate,5,121.13461538461539,0.8303976921770619,0.015838759376162068,0.7569004758796518,3231.968061538462,46.59134615384615,medium,0,0.515673141296436
27,128.0,60.248737341529164,0.44312263471870705,2.367933878703493,0.7664670658682635,0.5925925925925926,0.9045936395759717,85.9375,filamentous,undulate,5,130.7890625,0.5733261435322748,0.017501008114579265,-0.7779842136871208,1977.6062885802467,36.84375,sparse,2,0.6292808522962633
28,147.0,62.04163056034261,0.47991109691938766,2.7874967440545366,0.8121546961325967,0.5653846153846154,0.9639344262295082,61.224489795918366,filamentous,undulate,5,148.55102040816325,0.10037373394904121,0.04615067926114469,0.3210881222053527,504.9251482993197,35.82993197278912,very_sparse,3,0.386795405268269
29,140.0,49.698484809834994,0.7122813990611769,1.6298575744916433,0.8,0.625,0.9302325581395349,85.71428571428571,oval,undulate,0,79.25714285714285,1.9454803672700538,0.061918065031391176,-0.20417485861938267,120.7283950617284,76.48571428571428,dense,1,1.0
30,220.0,95.5269119345812,0.3029570529434239,3.8188363170595783,0.7213114754098361,0.5945945945945946,0.8349146110056926,45.45454545454545,filamentous,serrate,5,103.05909090909091,1.3116995227174342,0.021529367062744772,0.5314218795911654,2622.9980654545457,49.372727272727275,medium,0,0.6633077550997311
31,183.0,83.31980515339464,0.3312565408539377,2.015910145261278,0.6512455516014235,0.4066666666666667,0.7439024390243902,54.6448087431694,filamentous,serrate,2,101.68306010928961,1.3483394633023438,0.04247515901115448,-0.3644193475757633,590.4003672131148,41.4207650273224,medium,1,0.6719134074571714
32,252.0,124.19595949289332,0.20530308281292534,2.3314866739827624,0.5174537987679672,0.3251612903225806,0.5625,47.61904761904761,filamentous,serrate,4,107.53968253968254,1.1923936095403256,0.03742731452816603,-0.3241149417929442,977.071961904762,86.81746031746032,medium,2,0.5616490234134853
33,158.0,59.390872965260115,0.5628951843830208,1.6663951098781304,0.7348837209302326,0.3761904761904762,0.8315789473684211,44.30379746835443,irregular,serrate,4,104.46835443037975,1.2741746855582952,0.035904882178933034,-0.6018849346369659,1154.771746835443,61.848101265822784,medium,2,0.8214734118803328
34,350.0,128.81118318204307,0.26507622038842715,2.5409374471930852,0.5993150684931506,0.3246753246753247,0.6566604127579737,22.857142857142858,filamentous,serrate,4,82.50571428571429,1.8589797859270487,0.02444778073563512,-0.7532750313403199,2614.811799845302,98.07714285714286,dense,2,1.0
35,132.0,54.18376618407356,0.5649960585887033,1.9488437333327624,0.8,0.4835164835164835,0.9361702127659575,83.33333333333333,irregular,undulate,2,78.06060606060606,1.9773408729644735,0.05467540998417875,-0.2941879622947408,220.7403666292555,49.32575757575758,dense,1,1.0
36,287.0,137.8528137423857,0.18978439106547046,6.136100377441216,0.5881147540983607,0.1780397022332506,0.6605293440736478,17.421602787456447,filamentous,serrate,0,80.28571428571429,1.918092320406833,0.0813768002405485,-0.18394943100052216,359.55294773519165,54.40418118466899,dense,1,1.0
37,115.0,43.45584412271571,0.7652640705191905,2.033014738686452,0.92,0.6764705882352942,1.1004784688995215,78.26086956521739,filamentous,undulate,2,90.70434782608696,1.6406725751872306,0.04382694179978992,-0.9590997415316233,353.26956521739135,41.643478260869564,dense,2,1.0
38,146.0,53.35533905932738,0.6444763006383362,2.1730062061704527,0.8690476190476191,0.5407407407407407,1.0034364261168385,68.4931506849315,filamentous,undulate,0,74.17808219178082,2.0807218756962382,0.048626247641140104,-0.1617808239584598,511.9446356164383,51.965753424657535,dense,1,1.0
39,125.0,50.2842712474619,0.6212344858092264,1.2138787458509823,0.8169934640522876,0.5952380952380952,0.9541984732824428,72.0,oval,undulate,5,52.536,2.656991393613342,0.03438986853295165,-0.31195918458169863,592.1842962962965,114.752,dense,2,1.0
40,85.0,39.55634918610404,0.68264731397866,1.4388505335659327,0.8585858585858586,0.6746031746031746,1.0493827160493827,105.88235294117646,oval,undulate,5,132.96470588235294,0.5153947045885572,0.01782802478127988,-0.7119163141074765,1339.2313725490194,26.55294117647059,sparse,2,0.917239917346283
41,165.0,70.46194077712559,0.4176231897433947,3.069145047265088,0.5851063829787234,0.29464285714285715,0.6613226452905812,72.72727272727272,filamentous,serrate,4,124.89090909090909,0.7303778537854027,0.046535698920821295,-0.4944007379359916,372.4352775757576,71.2060606060606,sparse,2,0.449682863425937
